source,target
La noche está muy oscura.,NOCHE OSCURA
La India es el séptimo país más grande del mundo.,INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO
Tom Cruice es un actor muy famoso.,ACTOR dm-TOM CRUICE FAMOSO
Yo voy a la panadería.,PANADERÍA YO IR
En suburbano se viaja más rápido.,SUBURBANO VIAJAR VELOCIDAD
Tengo un partido en el Deportivo Galeana.,YO JUGAR PARTICIPAR DEPORTIVO-GALEANA
Mañana voy a viajar a África.,MAÑANA YO VIAJAR ÁFRICA
Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ
El vecino me pidió mover mi carro.,VECINO Él PEDIR MI CARRO MOVER
A mí no me gusta el alcohol.,ALCOHOL YO NO-GUSTAR
Nos vemos mañana en la noche.,DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE
Todos en la iglesia gritan ¡aleluya!,TODOS IGLESIA GRITAR ¡ALELUYA!
La Ciudad de México es enorme.,CIUDAD-DE-MÉXICO ENORME
Mi amiga es modelo de una revista.,MI AMIGO+MUJER MODELO SU REVISTA
El deportista de rafting es joven.,JOVEN HOMBRE DEPORTE RAFTING
Convencí a mi amigo de ir a la fiesta.,YO YA CONVENCER MI AMIGO IR FIESTA
La construcción de la escuela ya está avanzada.,ESCUELA CONSTRUCCIÓN YA AVANZADA
El barco llegó en la mañana.,MAÑANA BARCO YA LLEGAR
José se enfermó de tos en invierno.,INVIERNO dm-JOSÉ TOS ENFERMAR
La semana pasada mi papá cortó la hierba con la hoz.,SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR
Ellos siempre discuten.,SIEMPRE ELLOS DISCUTIR
Ellos rebanaron la pizza en ocho partes.,PIZZA OCHO ELLOS REBANAR
Mi hermana no nació en Texas.,MI HERMANO+MUJER NO NACER TEXAS
"Yo conozco Bangladesh, es muy bonito de verdad.",YO CONOCER BANGLADESH YA BONITO VERDAD
"Ese vestido es feo, no me gusta.",ESE VESTIDO FEO YO NO-GUSTAR
Voy al banco a retirar dinero.,YO IR BANCO DINERO RETIRAR
Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ
Ya suspendieron mi número de teléfono.,MI NÚMERO TELÉFONO SUSPENDER YA
¿Y eso?,¿Y-ESO?
Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO
Nosotros aprendemos gramática en la escuela.,LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA
"Tú estás embarazada, después vas a amamantar.","TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR"
En diciembre muchas personas van a esquiar.,DICIEMBRE MUCHAS PERSONAS ESQUIAR IR
Tu esposo siempre me da el avión en todo.,SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN
Ese gato blanco rasguña.,ESE BLANCO GATO RASGUÑAR
El gobernador colocó mucha publicidad por las calles.,HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES
Ayer compré un suéter.,AYER SUÉTER YO COMPRAR
Alguna persona que quiera donar sangre puede venir al hospital.,ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL
Él compró esa televisión de contado.,ÉL YA COMPRAR #TV CONTADO
Borré los contactos de mi teléfono.,TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR
Mi primo vive en Orizaba.,MI PRIMO ORIZABA VIVIR
Ayer entregué el enganche de mi auto.,AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE
Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO
"Usa maleta de ruedas mejor, no lastima el cuerpo.",MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER
Hoy fuí al zoológico y vi un gorila.,HOY YO IR ZOOLOGICO YO VER YA GORILA
El suegro de mi primo Samuel es ciego.,SUEGRO MI PRIMO dm-SAMUEL ÉL CIEGO ÉL
Austria es un país hermoso.,AUSTRÍA SU PAÍS HERMOSO
Compra pan bolillo.,PAN BOLILLO TÚ COMPRAR
"Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.",ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR
La vagina es un órgano femenino.,VAGINA ADENTRO CUERPO ORIGINAL MUJER
Yo no viajo contigo.,YO VIAJAR CONTIGO
"Yo acaricio a mi gato, él es muy tranquilo.",MI GATO ACARICIAR TRANQUILO
En la escuela cada niño tiene una computadora para trabajar.,CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR
No me abofetees.,NO ABOFETEAR MI
"Me asusto con las arañas, me dan miedo.",YO ASUSTAR ARAÑAS YO MIEDO
Mi mamá es católica.,MI MAMÁ CATÓLICA
Es necesario hacer ejercicio para estar sano.,NECESITAR EJERCICIO EJERCICIO PARA SALUD
Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR
A mí no me gustan las arañas.,YO NO GUSTAR ARAÑA
El disfraz está hecho de papel,DISFRAZ HACER. PAPEL
Te confundo a ti y a tu mamá porque se parecen.,YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS
El dueño de esa fábrica fue acusado de enriquecimiento ilícito.,HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO
Cristóbal Colón descubrió América hace años.,HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA
Ya descubrí su secreto.,SUYO SECRETO YO YA DESCUBRIRSE YA
Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL
La bandera mexicana tiene tres colores.,BANDERA MEXICANA TENER TRES COLORES
Las personas sordas tienen derecho a una educación bilingüe.,PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE
Me gustan las papas.,YO GUSTAR PAPA
El doctor anota la cita en la agenda.,CITA DOCTOR ESCRIBIR ANOTAR-AGENDA
