source,target
mi tío aprende lsm,tío mío lsm aprender
mi tía está apenada,tía mía apenada
ellos son abogados,ellos abogados
mi hermana es arquitecta,hermano mujer mía arquitecta
no te gusta pasear,tú pasear gustar no
tu novia estaba leyendo un libro ayer,ayer novio mujer tuya libro leer
ella está ocupada,ella ocupada
mi novia fue al restaurante,pasado novio mujer mía restaurante ir
mis abuelos,abuelo ellos míos
nosotros no queremos comprar un auto,nosotros auto comprar no querer
ellos entienden,ellos entender
ellas quieren dormir,ellas dormir querer
fue,pasado él ir
¿tu hermano es oyente?,¿hermano tuyo oyente?
mis sobrinos van a la escuela de lunes a viernes,lunes a viernes sobrino ellos mío escuela ir
yo estoy mal,yo mal
tu novio es miedoso,novio tuyo miedoso así
les gusta el café,ustedes café gustar
las casas,casa +casa+casa
tu novia está confundida,novio mujer tuya confundida
tú estás distraído,tú distraído
queremos aprender inglés,nosotros inglés aprender querer
buenas días,buenos días
no les gusta el chocolate,ellos chocolate gustar no
nosotros somos oyentes,nosotros oyentes
los niños están apenados,niño ellos apenados
ellas son gentiles,ellas gentiles
mi papá irá al banco mañana,mañana banco papá mío ir
me gustan las bebidas frías,yo bebidas frías gustar
no empujes por favor,tú empujar no por favor
¿cómo están?,¿cómo estar ustedes?
mi hermano es estudiante,hermano mío estudiante
nos agrada reír,nosotros reír agradar
tu tía es arquitecta,tío mujer tuya arquitecta
él,él
mi amiga estaba leyendo un libro ayer,ayer amigo mujer mío libro leer
ellas están tristes,ellas tristes
tienes que hacerlo,tú hacer deber
mi mamá está bien,mamá mía bien
no les agrada leer,ellos leer gustar no
no me gusta platicar,yo platicar gustar no
mi tío quiere descansar,tío mío descansar querer
¿tu hermana es sorda?,¿hermano mujer tuya sorda?
¿qué hicieron ayer?,¿ayer ellos (ellas) (ustedes) hacer qué?
mi amigo irá al supermercado,futuro amigo mío supermercado ir
¿tu abuelo es sordo?,¿abuelo tuyo sordo?
sus perros son pequeños,perro cl+cl+cl suyos pequeños
ella es feliz,ella feliz así
soy sordo,yo sordo
tu hermana quiere aprender lsm,hermano mujer tuya lsm aprender querer
él es oyente,él oyente
no hay sal,sal haber no
mi amigo es profesor,amigo mío profesor
mi abuelo estaba leyendo un periódico ayer,ayer abuelo mío periódico leer
les gusta el chocolate,ellos chocolate gustar
mi amiga entiende,amigo mujer mía entender
el niño es enojón,niño enojon así
tu tío quiere aprender español,tío tuyo español aprender querer
yo aprendo lsm,yo lsm hablar aprender
mi mamá es arquitecta,mamá mía arquitecta
los niños corren,niños ellos correr
es,él ser
te gusta platicar,tú platicar gustar
el niño es alto,niño alto
mi mamá está embarazada,mamá mía embarazada
ella no quiere comer,ella comer no querer
el niño es enojón,niño enojado así
tu amigo es profesor,amigo tuyo profesor
quiero ir,yo ir querer
mi abuelo aprende lsm,abuelo mío lsm aprender
a mi papá no le gusta el chocolate,papá mío chocolate gustar no
la maestra es gorda,maestro mujer gorda
no entiendo,entender no
no hay reglas,reglas haber no
los niños están enojados,niño ellos enojados
ellos quieren un abrazo,ellos abrazo querer
mis tías,tío mujer plura mío
mi perro,perro mío
¿tu abuela es oyente?,¿abuelo mujer tuya oyente?
mi sobrino quiere aprender lsm,sobrino mío lsm aprender querer
ayer les ayudé,"ayer ellos, yo ayudar"
no te gusta el café,tú café gustar no
fuimos a la universidad,pasado nosotros universidad ir
tu mamá come pizza en la cafetería,cafetería ahí mamá tuya pizza comer
no quieres adoptar un perro,tú perro adoptar no querer
"hola, ¡gusto en conocerte!",hola gustar conocer tú
los niños son enojones,niño ellos enojones así
ella corre diario,diario  ella correr
ellas están mal,ellas mal
ella se peina,ella peinar
el gatito café es tranquilo,gato café tranquilo
¿qué dijiste?,¿tú decir qué?
vivimos en México,México nosotros vivir
mi abuela es desesperada,abuelo mujer mía desesperada así
mi amigo está preocupado,amigo mío preocupado
leemos un libro,nosotros libro leer
mi mamá está apenada,mamá mía apenada
pocas sillas,silla pocas
las niñas son miedosas,niño mujer ellas miedosas así
tu primo quiere aprender lsm,primo tuyo lsm aprender querer
sus sobrinas,sobrino mujer ellas suyas
mi hermano es desesperado,hermano mío desesperado así
no puedo ver bien,yo ver bien poder no
tu papá es tímido,papá tuyo tímido así
mi suegra estaba leyendo un libro ayer,ayer suegro mujer mía leer
¿qué dijo?,¿él (ella) decir qué?
ellas leen un libro,ellas libro leer
mi hermano estudiará en la biblioteca mañana,mañana biblioteca ahí hermano mío estudiar
¿a dónde fue tu papá?,¿pasado papá tuya ir dónde?
el domingo pasado no salí,domingo pasado yo salir nada
los gatos son ruidosos,gato cl+cl+cl ruidosos
¿dónde está la biblioteca?,¿biblioteca dónde?
él quiere comprar un auto,él auto comprar querer
tu papá es desesperado,papá tuyo desesperado así
tu mamá es tímida,mamá tuya tímida así
mi tío está distraído,tío mío distraído
tu novio está confundido,novio tuyo confundido
mi abuelo está distraído,abuelo mío distraído
las niñas están distraídas,niño mujer ellas distraídas
tu tía trabaja de lunes a viernes,lunes a viernes tío mujer tuya trabajar
mi amiga irá al centro,futuro amigo mujer mía centro ir
los hombres,hombre ellos
tu hermano es artista,hermano tuyo artista
hay cinco peras en el plato,plato ahí peras cinco haber
la ropa está limpia,ropa limpia
"buenas noches, ¿cómo estás?","buenas noches, ¿cómo estar tú?"
a mi tío no le gusta el chocolate,tío mío chocolate gustar no
tu tío trabaja de lunes a viernes,lunes a viernes tío tuyo trabajar
mis primos,primo ellos míos
los arboles son verdes,árbol+árbol+árbol verdes
mi hermana come pescado,hermano mujer mía pescado comer
el hombre se arrepiente,hombre él arrepentir
nosotros somos amables,nosotros amables
¿qué hicieron el viernes?,¿ viernes pasado ellos (ellas) (ustedes) hacer qué?
mi abuela es tímida,abuelo mujer mía tímida así
la niña está loca,niño mujer loca
quiere ir,el (ella) ir querer
mi papá trabaja de lunes a viernes,lunes a viernes papá trabajar
tu amiga estaba leyendo un periódico ayer,ayer amigo mujer tuya periódico leer
ella quiere dormir,ella dormir querer
las puertas de la casa,casa puerta+puerta+puerta suyas
fuiste,pasado tú ir
mis perros,perro cl+cl+cl míos
mi amiga está confundida,amigo mujer mía confundida
mi tío es profesor,tío mío profesor
su padre murió la semana pasada,semana pasada padre suyo morir
mi cuñado tiene un carro blanco,cuñado mío carro blanco tener
mi papá estaba leyendo un libro ayer,ayer papá mío libro leer
mi mamá es artista,mamá mía artista
están locos,ellos (as) (ustedes) locos
a mi abuela no le gusta el chocolate,abuelo mujer mía chocolate gustar no
fueron,pasado ustedes ser
pocos focos,foco pocos
no quieres ir,tú ir no querer
ayer estuve ocupada,ayer yo ocupado estar
váyanse,ustedes ir
tú lees un libro,tú libro leer
él es distraído,él distraído así
mi amiga irá a la universidad la próxima semana,próxima semana amigo mujer mía universidad ir
no les gusta el café,ellas café gustar no
los niños fueron al museo,pasado niños ellos museo ir
"si, ellas son sordas","si, ellas sordas"
yo estoy enojada,yo enojada
leí un libro ayer,ayer yo libro leer
¿qué harán mañana?,¿ellos (ellas) (ustedes) hacer qué?
ustedes estaban ocupados ayer,ayer ustedes ocupados
mi mamá es abogada,mamá mía abogada
no te agrada leer,tú leer gustar no
su papá está aprendiendo inglés,papá suyo inglés aprender
tu abuelo,abuelo tuyo
la mujer es enojona,mujer enojona así
mi mamá estaba ocupada ayer,ayer mamá ocupada
hace siete años,antes años siete
mi novio quiere aprender inglés,novio mío inglés aprender querer
soy científico,yo científico
siempre estamos contentos,siempre nosotros contentos
soy estudiante,yo estudiante
mi primo estaba leyendo una revista ayer,ayer primo mío revista leer
mi novio fue al restaurante,pasado novio mío restaurante ir
muchas mesas,mesa muchas
tu hermano es arquitecto,hermano tuyo arquitecto
las niñas bailan,niño mujer ellas bailar
nuestra abuela,abuela nuestra
tu novia quiere aprender lsm,novio mujer tuya lsm aprender querer
mi papá entiende el español,papá mío español entender
yo como carne y sopa,yo sopa carne comer
¿a dónde fue tu hermana?,¿pasado hermano mujer tuya ir dónde?
hay siete peras en el plato,plato ahí peras siete haber
queremos aprender matemáticas,nosotros matemáticas aprender querer
¿ella es sorda?,¿ella sorda?
no le gusta sonreír,el sonreír gustar no
tus hijas viven en México,México hijo mujer tuyas vivir
mi prima es ingeniera,primo mujer mía ingeniera
mi hermana es oyente,hermano mujer mía oyente
su papá la regaña,papá suyo ella regañar
comen ensalada,ellos (as) (ustedes) ensalada comer
quiere comprar un auto,él (ella) auto comprar querer
ellos están preocupados,ellos preocupados
hay muchos perros en la calle,calle ahí muchos perros haber
tú estás alegre,tú alegre
tu papá quiere aprender inglés,papá tuyo inglés aprender querer
él es amable,él amable
nuestro amigo está triste,amigo nuestro triste
tu amigo es tímido,amigo tuyo tímido así
mi hermano vive en México,México hermano mío vivir
tú aprendes lsm,tú lsm aprender
nuestra hija,hijo mujer nuestra
mi tía es alegre,tío mujer mía alegre así
¿qué harás el próximo jueves?,¿próximo jueves tú hacer qué?
quieren comprar un auto,ellos (as) /ustedes auto comprar querer
no le gusta sonreir,el sonreír gustar no
mi amigo está confundido,amigo mío confundido
tú comes hamburguesa en el restaurante,restaurante ahí tú hamburguesa comer
mi amiga estudia en la biblioteca,biblioteca ahí amigo mujer mía estudiar
¿nadaste ayer?,¿ayer tú nadar?
¿cómo estás?,¿cómo estar tú?
él se ama a si mismo,él solito amar
me gusta el color morado,yo color morado gustar
soy sorda,yo sorda
ella es ingeniera,ella ingeniera
soy artista,yo artista
mi prima quiere correr en la pista,pista ahí primo mujer mía correr
ellas irán a la universidad mañana,mañana ellas universidad ir
mi gato,gato mío
el maestro se ama a si mismo,maestro solito amar
ustedes están enojados,ustedes enojados
mi prima aprende lsm,primo mujer mía lsm aprender
ellos entienden el español,ellos español entender
ellos son enojones,ellos enojones así
ella trabaja de lunes a viernes,lunes a viernes ella trabajar
ellas quieren aprender inglés,ellas inglés aprender querer
ustedes quieren aprender lsm,ustedes lsm aprender querer
mi papá estudia inglés todos los días,todos los días papá mío inglés estudiar
mi mamá está alegre,mamá mía alegre
mi amigo es arquitecta,amigo mío arquitecta
mi novia es alta,novia alta
el gato negro es mío,gato mío negro
yo,yo
¿qué hacen de lunes a viernes?,¿lunes a viernes ellos (ellas) (ustedes) hacer qué?
no me gusta leer,yo leer gustar no
mis sobrinas van a  la escuela semanalmente,lunes a viernes sobrina ellas mío escuela ir
¿él es sordo?,¿él sordo?
a mi papá le gusta el café,papá mío café gustar
ustedes están masomenos,ustedes masomenos
mi tío es artista,tío mío artista
¿tu novio es oyente?,¿novio tuyo oyente?
ellas trabajan de lunes a viernes,lunes a viernes ellas trabajar
mi papá está bien,papá mío bien
tu primo estaba leyendo un periódico ayer,ayer primo tuyo periódico leer
mi abuela come pizza en la cafetería,cafetería ahí abuelo mujer mía pizza comer
mi sobrino quiere aprender inglés,sobrino mío inglés aprender querer
mi mamá está triste,mamá mía triste
mi papá,papá mío
vivo en México,México yo vivir
a tu hermano no le gusta el café,hermano tuyo café gustar no
mi papá es ingeniero,papá mío ingeniero
quieres ir,tú ir querer
tu abuela es enojona,abuelo mujer tuya enojona así
tu,tuya
tu mamá estaba leyendo un libro ayer,ayer mamá tuya libro leer
no entiendo el español,yo español entender no
algunas sillas,silla algunas
su sobrina,sobrino mujer suya
irán,futuro ustedes ir
su amiga es alta,amigo mujer suya alta
ustedes están apenados,ustedes apenados
primos,primo ellos
tu amiga está mal,amigo mujer tuya mal
ellos están distraídos,ellos distraídos
estamos mal,nosotros mal
los gatos juegan en el parque,parque ahí gato cl+cl+cl jugar
tu amigo está masomenos,amigo tuyo masomenos
tu abuelo es tímido,abuelo tuyo tímido así
los niños leen un libro,niño ellos libro leer
el hombre se peina,hombre él peinar
eres artista,tú artista
ella es sorda,ella sorda
los niños están felices,niño ellos felices
las niñas son altas,niña ellas altas
mi tío vive en México,México tío mío vivir
tu hermana es arquitecta,hermano mujer tuya arquitecta
¿lo repites más despacio por favor?,¿repetir despacio por favor?
mi abuelo irá a la iglesia,futuro abuelo mío iglesia ir
no hay problema,problema haber no
mi mamá está distraída,mamá mía distraída
mi novia quiere aprender lsm,novio mujer mía lsm aprender querer
estamos apenados,nosotros apenados
los lentes son negros,lentes negros
ellos quieren comprar auto,ellos auto comprar no querer
¿él es oyente?,¿él oyente?
les gusta el chocolate,ellos chocolate gustar
tus perros,perro cl+cl+cl tuyos
tu mamá,mamá tuya
estuve enfermo ayer,ayer yo enfermo
nos gusta platicar,nosotros platicar gustar
algunas lavadoras,lavadoras algunas
la niña está alegre,niño mujer alegre
mi novia está triste,novio mujer mía triste
tu hija irá la universidad,futuro hijo mujer tuya universidad ir
mi abuela estaba leyendo un libro ayer,ayer abuelo mujer mío libro leer
a mi tío le gusta el chocolate,tío mío chocolate gustar
a mi abuelo no le gusta el chocolate,abuelo mío chocolate gustar no
tu papá es científico,papá tuyo científico
mi novio quiere aprender japonés,novio mío japonés aprender querer
les gusta platicar,ustedes platicar gustar
nosotros gentiles,nosotros gentiles
tu primo es científico,primo tuyo científico
no quiero café,yo café no querer
a tu abuelo le gusta el chocolate,abuelo tuyo chocolate gustar
no quieres un abrazo,tú abrazo no querer
a mi hermana no le gusta el chocolate,hermano mujer mía chocolate gustar no
mi papá es desesperado,papá mío desesperado así
siempre estamos contentos,siempre nosotros contentos
su perro,perro suyo
tu hermano quiere aprender lsm,hermano tuyo lsm aprender querer
mi hermana es abogada,hermano mujer mía abogada
tu hermana vive en México,México hermano mujer tuya vivir
hablaron ayer,ayer ellos hablar
tu tío es sordo,tío tuyo sordo
ustedes son amables,ustedes amables
mi tío es médico,tío mío médico
nuestro abuelo,abuelo nuestro
¿qué hicieron en la noche?,¿pasado noche ellos (ellas) (ustedes) hacer qué?
hace una hora,antes hora uno
ayer estaba enfermo,ayer yo enfermo
mi novia está bien,novio mujer mía bien
te agrada platicar,tú platicar gustar
tu tío quiere aprender lsm,tío tuyo lsm aprender querer
las niñas van a la escuela semanalmente,lunes a viernes niño mujer ellas escuela ir
tu novio está mal,novio tuyo mal
algunos gatos son muy agresivos,algunos gatos muy agresivos
su amiga está tranquila,amigo mujer suya tranquila
no nos gusta pasear,nosotros pasear gustar no
le gusta sonreír,ella sonreír gustar
nuestra amiga está masomenos,amigo mujer nuestra masomenos
les gusta el café,ellas café gustar
las niñas cantan,niño mujer ellas cantar
a mi abuela le gusta el chocolate,abuelo mujer mía chocolate gustar
¿qué hiciste el lunes pasado?,¿lunes pasado tú hacer qué?
autos,auto cl+cl+cl
¿a dónde fue ayer?,¿ayer ella ir dónde?
su amigo es inteligente,amigo suyo inteligente
nosotros estamos ocupados,nosotros ocupados
mi prima enseña a niños,primo mujer niño ellos enseñar
mi hijo trabaja de lunes a viernes,lunes a viernes hijo mío trabajar
ayer estaba nublado,ayer nublado
mi tía está loca,tío mujer mía loca
tu abuela es desesperada,abuelo mujer tuya desesperada
mi abuela tiene hambre,abuelo mujer mía hambre tener
hay dos manzanas en el plato,plato ahí dos manzanas haber
tu abuelo,abuelo tuyo
mesas,mesa+mesa+mesa
tu papá irá al supermercado,futuro papá tuyo supermercado ir
mi hermano es sordo,hermano mío sordo
ellos quieren aprender a dibujar,ellos dibujar aprender querer
soy médico,yo médico
hay diez peras en el plato,plato ahí peras diez haber
tu gato está enfermo,gato tuyo enfermo
mi mamá está loca,mamá mía loca
eres arquitecto,tú arquitecto
mi papá come papas en el restaurante,restaurante ahí papá mío papas comer
tu tío está enojado,tío tuyo enojado
mi amiga es desesperada,amigo mujer mía desesperada así
mi hermana es sorda,hermano mujer mía sorda
mi novia estaba leyendo un periódico ayer,ayer novio mujer mío periódico leer
tu abuela es desesperada,abuelo mujer tuya desesperada así
tu papá come un sandwich en la cafetería,cafetetería ahí papá tuyo sándwich comer
iré,futuro yo ir
yo estoy confundido,yo confundido
¿dónde viven tus hermanos?,¿hermano ellos tuyos vivir dónde?
no les gusta el café,ustedes café gustar no
tías,tío mujer ellas
nuestra mamá,mamá nuestra
ellos están apenados,ellos apenados
mi primo es estudiante,primo mío estudiante
leo un libro,yo libro leer
mi hermana es estudiante,hermano mujer mía estudiante
mi tía es artista,tío mujer mía artista
le gusta correr,el correr gustar
mi mamá está loca,mamá mía loca
te gusta el café,tú café gustar
quieren ir,ustedes ir querer
mi hermano está mal,hermano mío mal
niñas,niño mujer ellas
las mujeres están tristes,mujer ellas tristes
ustedes son tímidos,ustedes tímidos así
silla,silla
mis ojos son azules,ojos azules míos
yo juego futbol en la calle,calle ahí yo futbol jugar
mi hermana es distraída,hermano mujer mía distraída así
tu amiga es desesperada,amigo mujer tuya desesperada
mi amiga es arquitecta,amigo mujer mía arquitecta
mi hija trabaja de lunes a viernes,lunes a viernes hijo mujer mía trabajar
te gusta reír,tú reír gustar
tu prima quiere aprender matemáticas,primo mujer tuya matemáticas aprender querer
tu amigo está bien,amigo tuyo bien
él está masomenos,él masomenos
mi papá es enojón,papá mío enojón así
"si, mi hermana es sorda","si, hermano mujer mía sorda"
mi abuela quiere aprender a escribir,abuelo mujer mía escribir aprender querer
ayer compré esto,ayer yo esto comprar
eres científico,tú científico
mi amiga es abogada,amigo mujer mía abogada
los niños están confundidos,niño ellos confundidos
te gusta el chocolate,tú chocolate gustar
mi mamá es oyente,mamá mía oyente
eres desesperado,tú desesperado así
quiero dormir,yo dormir querer
los niños aprenden lsm,niño ellos lsm aprender
tu novia es miedosa,novio mujer tuya miedosa así
mi novio estaba ocupado ayer,ayer novio mío ocupado
el suéter es blanco,suéter blanco
mi papá estaba leyendo un periódico ayer,ayer papá mío periódico leer
ellas quieren descansar,ellas descansar querer
quieres trabajar,tú trabajar querer
mi prima estudia en la biblioteca,biblioteca ahí primo mujer estudiar
tu tía quiere aprender lsm,tío mujer tuya lsm aprender querer
él fue a la playa la semana pasada,semana pasada playa él ir
soy oyente,yo oyente
él irá al mercado mañana,mañana él mercado ir
permiso por favor,permiso por favor
mi tía quiere aprender lsm,tío mujer mía lsm aprender querer
tu abuelo vive en México,México abuelo tuyo vivir
los niños juegan,niños ellos jugar
mi sobrina quiere aprender lsm,sobrino mujer mía lsm aprender querer
tu sobrina fue al mercado,pasado sobrino mujer tuya mercado ir
pocas licuadoras,licuadora pocas
no les gusta caminar,el caminar gustar no
ellos quieren aprender inglés,ellos inglés aprender querer
ella es tranquila,ella tranquila
ayer le ayudé,"ayer él, yo ayudar"
irás,futuro tú ir
¿a dónde fue tu abuela?,¿pasado abuelo mujer tuya ir dónde?
mi novia está apenada,novio mujer mía apenada
ustedes no quieren un abrazo,ustedes abrazo no querer
no me gusta el color verde,yo color verde gustar no
ellos comen pasta en el restaurante,restaurante ahí ellos ensalada comer
el clima es frío,clima frío
leíste un libro ayer,ayer tú libro leer
entienden las matemáticas,ellos matemáticas entender
¿tu papá es sordo?,¿papá tuyo sordo?
ustedes quieren llorar,ustedes llorar querer
no hay dinero,dinero haber no
ustedes leen un libro,ustedes libro leer
nuestro abuelo,abuelo nuestro
ellas están alegres,ellas alegres
fueron a la universidad,pasado ellos (ellas) (ustedes) universidad ir
nosotros somos humanos,nosotros humanos
mi tío es ingeniero,tío mío ingeniero
tu abuelo está triste,abuelo tuyo triste
su mamá,mamá suya
tus hijos viven en México,México hijo ellos tuyos vivir
nuestra amiga es distraída,amigo mujer nuestra distraída así
me gusta el café,yo café gustar
tú eres tímido,tú tímido así
¿qué hiciste el domingo pasado?,¿domingo pasado tú hacer qué?
nosotros estamos ocupados,nosotros ocupados
mi amigo come ensalada,amigo mío ensalada comer
hay nueve libros en el estante,estante ahí nueve libros haber
ustedes quieren aprender lsm,ustedes lsm aprender querer
él viaja en avión,él avión viajar
él es agradable,él agradable
las niñas estaban ocupadas ayer,ayer niño mujer ellas ocupadas
les gusta el café,ellos café gustar
hace mucho frío,frío mucho
¿qué haces de lunes a viernes?,¿lunes a viernes tú hacer qué?
tus hermanas,hermano mujer tuyos
mi tía no entiende el español,tío mujer mía español entender no
¿lo repites más lento por favor?,¿repetir lento por favor?
nosotros somos arquitectos,nosotros arquitectos
tu mamá está seria,mamá tuya seria
son,ellos ser
tu hermano quiere aprender inglés,hermano tuyo inglés aprender querer
mi hermano,hermano mío
él no entiende la lsm,él lsm entender no
no entendemos el español,nosotros español entender no
mi abuela está loca,abuelo mujer mía loca
manzana,manzana
quiero a mi mamá,yo mamá mía ella querer
ustedes no quieren comprar un auto,ustedes auto comprar no querer
nosotros somos tranquilos,nosotros tranquilos
muchas mujeres,mujer muchas
mi novia es oyente,novio mujer mía oyente
mi sobrina,sobrino mujer mía
a mi tía no le gusta el chocolate,tío mujer mía chocolate gustar no
no te gusta el chocolate,tú chocolate gustar no
mucha gente,gente mucha
las niñas aprenden lsm,niño mujer ellas lsm aprender
buenas tardes,buenas tardes
quiero a mi mamá,yo mamá mía querer
nuestro novio,novio nuestro
los hombres son serios,hombre ellos serios
algunos autos,auto algunos
tu abuela,abuelo mujer tuya
tíos,tío ellos
ellas quieren ir,ellas ir querer
les gusta leer,ustedes leer gustar
mi tía quiere aprender inglés,tío mujer mía inglés aprender querer
su cabello es rizado,cabello suyo rizado
tu tío es arquitecto,tío tuyo arquitecto
mi abuelo está confundido,abuelo mío confundido
tu novio quiere aprender inglés,novio tuyo inglés aprender querer
quiero aprender lsm,yo lsm aprender querer
la maestra parece enojada,maestro mujer ella enojada
nuestra amiga está mal,amigo mujer nuestra mal
él no quiere comprar un auto,él auto comprar no querer
suegras,suegro mujer ellas
no te gusta caminar,tú caminar gustar no
mi prima es artista,primo mujer mía artista
"si, ellos son son sordos","si, ellos sordos"
tu abuela irá la iglesia,futuro sobrino tuyo mercado ir
ustedes fueron a la fiesta,pasado ustedes fiesta ir
mi mamá está alegre,mamá mía alegre
¿dónde vive tu primo?,¿primo tuyo vivir dónde?
muchas ventanas,ventana muchas
tu hija trabaja de lunes a viernes,lunes a viernes hijo mujer tuya trabajar
tío,tío
van,ustedes ir
mi hermana es artista,hermano mujer mía artista
tu abuelo quiere aprender japonés,abuelo tuyo japonés aprender querer
mis gatos,gato cl+cl+cl mío
tu tío está confundido,tío tuyo confundido
mi abuela está enojada,abuelo mujer mía enojada
mi hijo,hijo mío
su hermano,hermano suyo
ellas estaban ocupadas ayer,ayer ellas ocupadas
mi amigo no entiende,amigo mío entender no
mi amiga fue al supermercado,pasado amigo mujer mía supermercado ir
algunos árboles,árbol algunos
nosotros somos abogados,nosotros abogados
¿dónde está la iglesia?,¿iglesia dónde?
mi amigo fue al centro,pasado amigo mío centro ir
los autos están descompuestos,auto descompuesto
tú estás enojado,tú enojado
¿qué hiciste ayer?,¿ayer tú hacer qué?
tu amigo es ingeniero,amigo tuyo ingeniero
tu casa es grande,casa tuya grande
¿tu mamá es sorda?,¿mamá tuya sorda?
ellas están apenadas,ellas apenadas
no les gusta el chocolate,ustedes chocolate gustar no
mi tío está bien,tío mío bien
tu tío es miedoso,tío tuyo miedoso así
su abuelo es viejo,abuelo suyo viejo
mi amigo es ingeniera,amigo mío ingeniera
mi tía quiere aprender lsm,tío mujer mía lsm aprender querer
tu abuela estaba leyendo un libro ayer,ayer abuelo mujer tuya libro leer
¿qué harás el martes?,¿futuro martes tú hacer qué?
quieren correr en la pista,pista ahí ellos/ellas correr
mi amigo es desesperado,amigo mío desesperado así
a mi mamá no le gusta leer,mamá mía leer gustar no
mi amigo estaba leyendo un periódico ayer,ayer amigo mío periódico leer
a tu mamá no le gusta el chocolate,mamá tuya chocolate gustar no
mi papá me enseña,papá mío yo enseñar
tu prima es médico,primo mujer tuya médico
él entiende el español,él español entender
ellas quieren llorar,ellas llorar querer
tu tío quiere aprender inglés,tío tuyo inglés aprender querer
tu hermana es ingeniera,hermano mujer tuya ingeniera
quiere correr en la pista,pista ahí él (ella) correr querer
mi amigo es enojón,amigo mío enojón así
mi primo quiere correr en la pista,pista ahí primo mío correr
tu novio está distraído,novio tuyo distraído
ellos quieren dormir,ellos dormir querer
las niñas están masomenos,niño mujer ellas masomenos
no quiero adoptar un perro,yo perro adoptar no querer
no les gusta sonreír,ellos sonreír gustar no
tu amiga está enojada,amiga tuya enojada
mi primo estudia en la biblioteca,biblioteca ahí primo estudiar
eso,eso
mi mamá entiende,mamá mía entender
a mi abuela le gusta cocinar,abuelo mujer mía cocinar gustar
tu amigo está enojado,amigo tuyo enojado
los abuelos son viejos,abuelo ellos viejos
mi papá es alegre,papá mío alegre así
tu mamá,mamá tuya
me gusta el chocolate,yo chocolate gustar
está haciendo mucho viento,viento mucho
quiere dormir,él/(ella) dormir querer
tu hermana es artista,hermano mujer tuya artista
las casas parecen abandonadas,casa+casa+casa parecen abandonada
tu amiga es médico,amigo mujer tuya médico
el próximo mes hará calor,próximo mes calor
el gato café parece tranquilo,gato café parece tranquilo
mi hijo está loco,hijo mío loco
muchas puertas,puerta muchas
mi tía está mal,tía mía mal
ve,tú ir
yo estoy masomenos,yo masomenos
yo trabajo de lunes a viernes,lunes a viernes yo trabajar
les agrada comer helado,ellos comer helado gustar
mi primo fue a la escuela ayer,ayer escuela primo mío ir
tu tío es ingeniero,tío tuyo ingeniero
tu prima es abogada,primo mujer tuya abogada
ustedes son alegres,ustedes alegres así
no hay comida,comida haber no
¿podemos platicar?,¿(nosotros) platicar poder?
yo soy simpática,yo simpática
quieren adoptar un perro,ellos perro adoptar querer
quieren comer,ellos comer querer
ellos son ingenieros,ellos ingenieros
tu amiga come un sándwich en la cafetería,cafetería ahí amigo mujer tuya sándwich comer
nosotros somos simpáticos,nosotros simpáticos
mi tío es sordo,tío mío mío sordo
leyó un libro ayer,ayer él (ella) libro leer
el próximo viernes comeré pizza,próximo viernes yo pizza comer
las niñas están felices,niño mujer ellas felices
nosotros queremos dormir,nosotros dormir querer
tu papá está enojado,papá tuyo enojado
mi casa,casa mía
a tu papá le gusta el café,papá tuyo café gustar
tu primo,primo tuyo
"Hola, ¿cómo estás?",hola cómo estar tú
me desagrada caminar,yo caminar gustar no
mi abuelo es miedoso,abuelo mío miedoso así
ella quiere llorar,ella llorar querer
ellos aprenden lsm,ellos lsm aprender
no podemos hacerlo,nosotros hacer poder no
tú no quieres ir,tú ir no querer
el suéter es negro,suéter negro
a mi primo no le gusta el chocolate,primo mío chocolate gustar no
la cena está fría,cena fría
mi abuela está apenado,abuelo mujer mía apenada
la ropa está sucia,ropa sucia
ellas artistas,nosotros artistas
mi papá está confundido,papá mío confundido
tu tía come fruta,tío mujer tuya fruta comer
tu novio está apenado,novio tuyo apenado
¿qué hiciste el  miércoles pasado?,¿miércoles pasado tú hacer qué?
mi prima es artista,primo mujer mía artista
soy abogado,yo abogado
mi tía está triste,tía mía triste
a mi hermano le gusta el café,hermano mío café gustar
mi tía está distraída,tía mía distraída
tú no entiendes el español,tú español entender no
¿tu tía es sordo?,¿tío mujer tuya sorda?
ellas estudiarán matemáticas mañana,mañana ellas matemáticas estudiar
me agrada caminar,yo caminar gustar
tu novia es desesperada,novio mujer tuya desesperado
ellas juegan futbol en la calle,calle ahí ellas futbol jugar
ellos están masomenos,ellos masomenos
mi novia es desesperada,novio mujer mía desesperada así
vamos,nosotros ir
tú eres tranquilo,tú tranquilo
tu perro,perro tuyo
a tu tío le gusta el café,tío tuyo café gustar
tú trabajas de lunes a viernes,lunes a viernes tú trabajar
ellos son simpáticos,ellos simpáticos
¿tu tía es oyente?,¿tío mujer tuya oyente?
tu hermano es científico,hermano tuyo científico
mi novia no entiende la lsm,novio mujer mía lsm entender no
el gato café está tranquilo,gato café tranquilo
suegra,suegro mujer
"la bandera es verde, blanco y rojo",bandera verde blanco rojo
tu papá es arquitecto,papá tuyo arquitecto
mi papá quiere aprender lsm,papá mío lsm aprender querer
a mi mamá le agrada leer,mamá mía leer gustar
estuve ocupado la semana pasada,semana pasada yo ocupado estar
tu hermano es médico,hermano tuyo médico
mi primo estaba leyendo un libro ayer,ayer primo mío libro leer
